[22 nov 0:33:32] AUDIT:Player Helius has invalid skill Weight Increase (1572/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Summon Buff Cubic (10073/4), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Superior Cubic Mastery (10075/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:36] AUDIT:Player Helius has invalid skill Superior Guard Stance (10076/4), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:36] AUDIT:Player Helius has invalid skill Templar's Will (10091/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:36] AUDIT:Player Helius has invalid skill Summon Guardian Cubic (10092/4), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:36] AUDIT:Player Helius has invalid skill Guardian's Frenzy (10100/4), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:36] AUDIT:Player Helius has invalid skill Mass Freezing Strike (10103/4), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:36] AUDIT:Player Helius has invalid skill Sentinel's Aura (10106/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:36] AUDIT:Player Helius has invalid skill True Vanguard (10244/3), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:15] AUDIT:Player Helius has invalid skill Summon Magnus the Unicorn (1407/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:15] AUDIT:Player Helius has invalid skill Wynn Aura (1937/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:15] AUDIT:Player Helius has invalid skill Summon White Wing (8605/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Superior Weapon Mastery (11251/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Superior Robe Mastery (11252/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Superior Magic Mastery (11253/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Superior Summon Mastery (11254/4), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Superior Spirit Mastery (11255/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Summon Cute Bear (11256/8), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Summon Saber Tooth Cougar (11257/8), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Summon Grim Reaper (11258/8), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Mark of Weakness (11259/8), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Mark of Void (11260/5), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Mark of Plague (11261/6), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Mark of Trick (11262/6), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Invoke (11263/7), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Strong Will (11264/4), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Summon Team Mate (11265/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Summon Death Gate (11266/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Spirit of Naviarope (11267/3), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Summon Avenging Cubic (11268/8), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Mass Servitor Heal (11269/4), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Ultimate Transfer Pain (11270/4), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Mark Retriever (11271/8), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Replace (11272/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Exile (11273/5), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Summon Barrier (11274/4), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Dimensional Binding (11276/3), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:16] AUDIT:Player Helius has invalid skill Superior Resistance (11287/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Ultimate Servitor Share (11288/3), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Superior Light Armor Mastery (11295/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Mass Exile (11296/6), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Blessing of the Giants (11297/4), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Mark of Fire (11298/10), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Servitor Balance Life (11299/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Servitor Major Heal (11302/8), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Mass Servitor Magic Barrier (11303/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Mass Servitor Haste (11304/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Mass Servitor Shield (11305/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Mass Servitor Empower (11306/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Mass Servitor Might (11307/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Mass Servitor Wind Walk (11308/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Mass Servitor Blessing (11309/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Mass Servitor Ultimate Defense (11310/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Summon Soulshots (11316/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Summon Wynn Merrow (11329/8), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Summon Wynn Magnus (11330/8), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Summon Wynn Seraphim (11331/8), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Servitor Death Whisper (11348/4), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Elemental Rage (11353/4), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Summon Moving Portal (11361/2), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Instant Teleport (11363/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Summon Unicorn Lancer (11371/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Summon Unicorn Cherub (11372/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Elemental's Call (11389/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:41:17] AUDIT:Player Helius has invalid skill Sharing Equipment (19220/1), class:Feoh Mystic Muse, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:34] AUDIT:Player Helius has invalid skill Weight Increase (1597/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:34] AUDIT:Player Helius has invalid skill Feoh Aura (1935/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:34] AUDIT:Player Helius has invalid skill Summon Blue Phantom (8604/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:34] AUDIT:Player Helius has invalid skill Superior Weapon Mastery (11001/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:34] AUDIT:Player Helius has invalid skill Superior Robe Mastery (11002/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:34] AUDIT:Player Helius has invalid skill Superior Anti Magic (11003/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Superior Sigil Mastery (11004/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Superior Wizard Mastery (11005/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Superior Mental Attack Resistance (11006/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Fire Stance (11007/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Water Stance (11008/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Wind Stance (11009/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Earth Stance (11010/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Elemental Spike (11011/8), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Elemental Crash (11017/8), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Elemental Crash (11023/8), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Death Breath (11029/5), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Death Lord (11030/4), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Death Howl (11032/4), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Elemental Blast (11034/8), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Elemental Storm (11040/8), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Wizard Spirit (11046/2), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Devil's Curse (11047/6), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Mass Devil's Curse (11048/6), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Ignore Divinity (11049/2), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Hell Binding (11050/4), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Mass Hell Binding (11052/4), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Death Fear (11055/7), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Mass Death Fear (11056/8), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Magical Evasion (11057/6), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Shadow Snare (11058/3), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Air Rider (11062/4), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Ultimate Body To Mind (11064/8), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Arcane Barrier (11065/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Unleash Hell (11066/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Death Mass Unleash Hellи (11067/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Double Casting (11068/4), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Fire - Elemental Spike (11072/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:35] AUDIT:Player Helius has invalid skill Water - Elemental Spike (11073/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Wind - Elemental Spike (11074/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Earth - Elemental Spike (11075/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Double Casting - Elemental Spike (11076/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Fire - Elemental Crash (11082/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Water - Elemental Crash (11083/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Wind - Elemental Crash (11084/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Earth - Elemental Crash (11085/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Double Casting - Elemental Crash (11086/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Crystal Form (11093/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Magical Charge (11094/6), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Devil's Sway (11095/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Elemental Speed Burst (11112/4), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Snow Storm (11136/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Superior Wizardry (11176/4), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Aqua Crash (11177/4), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Aqua Crash - Speed Decrease (11178/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Superior Quick Recovery (11183/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Superior Arcane Lore (11184/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Superior MP Boost (11185/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Superior Fast MP Recovery (11186/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Superior Clear Mind (11187/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Elemental Destruction: Fire (11190/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Elemental Destruction: Water (11191/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Elemental Destruction: Wind (11192/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Elemental Destruction: Earth (11193/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Elemental Destruction: Double Casting (11194/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 9:20:36] AUDIT:Player Helius has invalid skill Aqua Crash - Freeze (11195/1), class:Othell Wind Rider, L2PcInstance:Helius[268485995], BROADCAST
